time	V(n001)	V(n002)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	8.114631e-20	1.240610e-21
1.999999943436137e-09	4.332490e-19	8.964624e-21
2.942659280562410e-06	-1.440160e-11	-1.441045e-11
5.883318561181384e-06	-6.106065e-12	-6.303223e-12
8.823977841800358e-06	2.488662e-11	2.432169e-11
1.176463712241933e-05	7.857644e-11	7.746428e-11
1.470529640303831e-05	1.549634e-10	1.531245e-10
1.764595568365728e-05	2.540475e-10	2.513025e-10
2.058661496427625e-05	3.758288e-10	3.719981e-10
2.449093461794532e-05	6.740886e-10	6.679194e-10
2.881591366682357e-05	1.209632e-09	1.199484e-09
3.331715134826907e-05	2.123846e-09	2.107142e-09
3.808215305040852e-05	3.725404e-09	3.697468e-09
4.293650724600741e-05	6.451486e-09	6.404689e-09
4.793525447647309e-05	1.117196e-08	1.109276e-08
5.296874508531577e-05	1.921349e-08	1.907932e-08
5.807517318573446e-05	3.306480e-08	3.283618e-08
6.319038735824667e-05	5.669822e-08	5.630866e-08
6.834130304450730e-05	9.730123e-08	9.663538e-08
7.349148168779170e-05	1.666686e-07	1.655309e-07
7.865935712946808e-05	2.856800e-07	2.837330e-07
8.382432212711635e-05	4.891810e-07	4.858504e-07
8.899861630947282e-05	8.380482e-07	8.323462e-07
9.417059531121404e-05	1.434914e-06	1.425156e-06
9.934836569939961e-05	2.457654e-06	2.440949e-06
1.045256513791701e-04	4.207981e-06	4.179396e-06
1.097083567041787e-04	7.206238e-06	7.157327e-06
1.148942255329684e-04	1.233814e-05	1.225451e-05
1.200893368296674e-04	2.112633e-05	2.098343e-05
1.252965346668605e-04	3.616713e-05	3.592336e-05
1.305266340719910e-04	6.191320e-05	6.149835e-05
1.357934507523767e-04	1.059611e-04	1.052581e-04
1.411232428048898e-04	1.813149e-04	1.801310e-04
1.465593217556781e-04	3.102614e-04	3.082870e-04
1.521744300676085e-04	5.313245e-04	5.280758e-04
1.580882007439922e-04	9.124163e-04	9.071587e-04
1.644959055924417e-04	1.577065e-03	1.568716e-03
1.716923497727583e-04	2.758290e-03	2.745296e-03
1.802203580886347e-04	4.940144e-03	4.920219e-03
1.909055102548005e-04	9.160521e-03	9.130291e-03
2.052346089483491e-04	1.786609e-02	1.782041e-02
2.256743373789108e-04	3.655680e-02	3.648805e-02
2.519199390187775e-04	7.218812e-02	7.209064e-02
2.910040293192951e-04	1.500115e-01	1.498766e-01
3.511883182334131e-04	3.170426e-01	3.168623e-01
4.180077770973868e-04	5.631855e-01	5.629664e-01
5.011436599079823e-04	9.508275e-01	9.505430e-01
6.062618570736669e-04	1.544343e+00	1.543535e+00
7.530377582428401e-04	2.514257e+00	2.490774e+00
9.654210722236476e-04	4.061541e+00	3.931902e+00
9.969047502696770e-04	4.304778e+00	4.118498e+00
1.059872106361736e-03	4.806770e+00	4.414024e+00
1.075613945384751e-03	4.933202e+00	4.466139e+00
1.107097623430780e-03	5.188051e+00	4.521105e+00
1.170064979522839e-03	5.700977e+00	4.575860e+00
1.278104744635703e-03	6.586308e+00	4.619303e+00
1.412401366088732e-03	7.685717e+00	4.646428e+00
1.680994608994790e-03	9.826241e+00	4.674829e+00
