time	V(n002)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	1.592782e-12	3.009217e-14
1.999999943436137e-09	3.187400e-12	7.920661e-14
1.036449038722702e-06	1.638986e-09	1.570348e-09
2.070898077501967e-06	3.386824e-09	3.267097e-09
3.105347116281233e-06	5.246701e-09	5.090326e-09
4.139796155060499e-06	7.218618e-09	7.040035e-09
5.174245193839765e-06	9.302575e-09	9.116224e-09
6.208694232619030e-06	1.149857e-08	1.131889e-08
7.243143271398294e-06	1.380661e-08	1.364804e-08
1.036618208008852e-05	2.280558e-08	2.257148e-08
1.304281596308792e-05	3.463378e-08	3.425915e-08
1.535950948187977e-05	5.153423e-08	5.091313e-08
1.747231084825248e-05	7.770824e-08	7.665944e-08
1.947743463301141e-05	1.202882e-07	1.184983e-07
2.142081339225093e-05	1.924620e-07	1.893709e-07
2.346584995841354e-05	3.248268e-07	3.193009e-07
2.536965160221562e-05	5.414132e-07	5.318537e-07
2.731168984616042e-05	9.265409e-07	9.097562e-07
2.916864916825870e-05	1.566749e-06	1.537902e-06
3.105092044162448e-05	2.687532e-06	2.637516e-06
3.288708750525158e-05	4.572598e-06	4.486930e-06
3.474165583378339e-05	7.843796e-06	7.696229e-06
3.657148959500468e-05	1.338536e-05	1.313295e-05
3.841463867998912e-05	2.295079e-05	2.251754e-05
4.024525846223628e-05	3.922355e-05	3.848321e-05
4.208673660994213e-05	6.721831e-05	6.595136e-05
4.392465975460894e-05	1.149490e-04	1.127892e-04
4.577577617372973e-05	1.968714e-04	1.931935e-04
4.763558481618600e-05	3.366811e-04	3.304534e-04
4.952184559960932e-05	5.762207e-04	5.657368e-04
5.144444503536371e-05	9.853669e-04	9.679122e-04
5.343590075539097e-05	1.687232e-03	1.658576e-03
5.553826806701820e-05	2.895942e-03	2.849777e-03
5.783284095929101e-05	5.008200e-03	4.935411e-03
6.044153202756413e-05	8.780270e-03	8.668312e-03
6.362158415545776e-05	1.588039e-02	1.571172e-02
6.783693857388097e-05	2.984991e-02	2.960060e-02
7.286239164227347e-05	5.339967e-02	5.305855e-02
7.908715771496497e-05	9.286388e-02	9.242825e-02
8.804932334960323e-05	1.655912e-01	1.650608e-01
9.953087474842818e-05	2.780059e-01	2.774091e-01
1.131021496298659e-04	4.300877e-01	4.294641e-01
1.311090504998280e-04	6.500960e-01	6.494741e-01
1.535800530750106e-04	9.379984e-01	9.373861e-01
1.751747253614651e-04	1.221169e+00	1.220529e+00
2.082974876698160e-04	1.659485e+00	1.658560e+00
2.513986123776265e-04	2.230705e+00	2.225730e+00
3.372044991275212e-04	3.367010e+00	3.339135e+00
3.534070475834103e-04	3.581193e+00	3.537866e+00
3.858121444951883e-04	4.008503e+00	3.877294e+00
4.506223383187444e-04	4.861423e+00	4.418877e+00
4.665415575437359e-04	5.070397e+00	4.498341e+00
4.983799959937190e-04	5.487003e+00	4.556776e+00
5.620568728936853e-04	6.317308e+00	4.609359e+00
7.627662774033997e-04	8.898521e+00	4.664988e+00
9.580787774033997e-04	1.135775e+01	4.690666e+00
